base_date,emd_nm,disQuantity,disCount
20-May,이도1동,49351100,21479
20-May,이도2동,201309400,100776
20-May,이호동,19338650,8926
20-May,일도1동,23415550,8719
20-May,일도2동,148384250,79682
20-May,조천읍,47952750,17437
20-May,한경면,18150950,5032
20-May,한림읍,60806750,16949
20-May,화북동,117299450,67724
20-Jun,건입동,34385150,17719
20-Jun,구좌읍,30321200,10849
20-Jun,노형동,247815050,134195
20-Jun,도두동,17221950,6786
20-Jun,봉개동,11226750,5505
20-Jun,삼도1동,64798150,34375
20-Jun,삼도2동,36390700,18813
20-Jun,삼도동,,
20-Jun,삼양동,64970650,33819
20-Jun,아라동,108973100,58154
20-Jun,애월읍,91313650,34745
20-Jun,연동,212834900,114594
20-Jun,오라동,57288800,29474
20-Jun,외도동,105128000,55452
20-Jun,용담1동,34490700,17870
20-Jun,용담2동,58511500,33250
20-Jun,이도1동,48843200,22650
20-Jun,이도2동,208574120,106435
20-Jun,이호동,20189050,9481
20-Jun,일도1동,23240900,8793
20-Jun,일도2동,151396850,84191
20-Jun,조천읍,57455650,23023
20-Jun,한경면,20005000,5553
20-Jun,한림읍,64754050,19534
20-Jun,화북동,119155450,69672
20-Jul,건입동,38042300,19726
20-Jul,구좌읍,37113100,13093
20-Jul,노형동,272005450,148453
20-Jul,도두동,19562650,7663
20-Jul,봉개동,13341000,6357
20-Jul,삼도1동,68999300,36862
20-Jul,삼도2동,39578850,21003
20-Jul,삼도동,,
20-Jul,삼양동,75290150,38943
20-Jul,아라동,120526450,63537
20-Jul,애월읍,104952800,39743
20-Jul,연동,233184250,126293
20-Jul,오라동,63920000,32840
20-Jul,외도동,115297600,60772
20-Jul,용담1동,37776100,20254
20-Jul,용담2동,66562500,37672
20-Jul,이도1동,52658500,24438
20-Jul,이도2동,228061650,117493
20-Jul,이호동,22053450,10767
20-Jul,일도1동,24053600,9622
20-Jul,일도2동,169512500,94798
20-Jul,조천읍,70006100,27762
20-Jul,한경면,22346050,6392
20-Jul,한림읍,73629050,22641
20-Jul,화북동,129458500,76541
20-Aug,건입동,37054250,20139
20-Aug,구좌읍,41777350,14354
20-Aug,노형동,283177250,154714
20-Aug,도두동,20294550,7889
20-Aug,봉개동,14388700,6707
20-Aug,삼도1동,69464300,36909
20-Aug,삼도2동,38087400,20039
20-Aug,삼도동,,
20-Aug,삼양동,74932000,38919
20-Aug,아라동,121373400,63250
20-Aug,애월읍,113841040,42690
20-Aug,연동,243373600,131300
20-Aug,오라동,65703650,33694
20-Aug,외도동,115014150,60638
20-Aug,용담1동,38178200,20064
20-Aug,용담2동,70265400,38393
20-Aug,이도1동,50331050,25325
20-Aug,이도2동,233735720,121329
20-Aug,이호동,25222600,11295
20-Aug,일도1동,23972800,9671
20-Aug,일도2동,178268200,99335
20-Aug,조천읍,80915496,30663
20-Aug,한경면,26056700,7210
20-Aug,한림읍,79600300,24194
20-Aug,화북동,130865300,76652
20-Sep,건입동,30955050,17560
20-Sep,구좌읍,31145000,11797
20-Sep,노형동,228893600,134521
20-Sep,도두동,16112200,6766
20-Sep,봉개동,11124000,5649
20-Sep,삼도1동,56469500,31694
20-Sep,삼도2동,30808100,17570
20-Sep,삼도동,,
20-Sep,삼양동,60799300,33440
20-Sep,아라동,92697950,52586
20-Sep,애월읍,85656800,36582
20-Sep,연동,199558900,115967
20-Sep,오라동,53591400,29160
20-Sep,외도동,93192700,53282
20-Sep,용담1동,32707500,17439
20-Sep,용담2동,56943500,33991
20-Sep,이도1동,40712600,22371
20-Sep,이도2동,189905850,104593
20-Sep,이호동,18925650,9417
20-Sep,일도1동,22118950,8622
20-Sep,일도2동,147003050,86978
20-Sep,조천읍,58845750,25953
20-Sep,한경면,18969800,5879
20-Sep,한림읍,69520250,21128
20-Sep,화북동,105779650,65760
20-Oct,건입동,30034100,16794
